token_address,receiver,amount
0x0000000000000000000000000000000000000404,0xa26c2744757a7c7fad021073108d843ece8ba648,10624.7
0x0000000000000000000000000000000000000404,0xedb7014286f9711bec29fcb8e329d7f235e282fe,8203.22
0x0000000000000000000000000000000000000404,0xecff33461f6fa07f62bf7619ad1ccb023de6833c,19324.5
0x0000000000000000000000000000000000000404,0x28523f9e8e5694523b6536d5b1123e322a3e554a,387.472
0x0000000000000000000000000000000000000404,0x3521835b43b1ad07364220aff4166386880230c7,431.979
0x0000000000000000000000000000000000000404,0x6c46489194bbc861723049b27ee563995b85bba1,1902.54
0x0000000000000000000000000000000000000404,0x4fac709cc2d0bf3ebba37e908e1693f6413738c0,10848.2
0x0000000000000000000000000000000000000404,0xa09f9479a535c99885d76c364f9b68ba9ae6a8c8,663.968
0x0000000000000000000000000000000000000404,0xee1e8b3b5788b1eb2a73c482298866534a1c61cb,50603.9
0x0000000000000000000000000000000000000404,0x5270130b2b7e99ab2ec0a8500b1869fe7ec9b794,21085.1
0x0000000000000000000000000000000000000404,0x2e54e68f422563147fc9438064bb6ba41e42e356,1081.4
0x0000000000000000000000000000000000000404,0x5c66d7e19445a699c884a84ee39a2b95f6e4f236,0.019326419
0x0000000000000000000000000000000000000404,0x1eeaba9a7eb68ec137be38b0901abfb17a510a39,7352.37
0x0000000000000000000000000000000000000404,0x67131485a916b02f50006d01cc82b93d2778dc65,69865
0x0000000000000000000000000000000000000404,0x4586abb5c8ed8a6917131fa4db4ce4c78f800e4c,1599.14
0x0000000000000000000000000000000000000404,0xabee2e079a4690f3023f25d56533eacff1f49bbf,0.9663209501
0x0000000000000000000000000000000000000404,0x63837d962e53ad465593244849baf24c880e9da8,1718.81
0x0000000000000000000000000000000000000404,0x40bfc8f85b1cccda73e99371d9f7d6e8e99c7b0e,212.691
0x0000000000000000000000000000000000000404,0x9ef442ec149dd3bb61b1324209c332a9f2b78e61,152762
0x0000000000000000000000000000000000000404,0xb4a614256dbc815ba58c33ac4d6089f0b6de9bdf,7151.36
0x0000000000000000000000000000000000000404,0x8d1556fc392aa1d921da04fd0a7ae2f561f6a8b7,135.092
0x0000000000000000000000000000000000000404,0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,572.937
0x0000000000000000000000000000000000000404,0x32e351b39d9dcc5e292385143530d7f3417da550,3932.68
0x0000000000000000000000000000000000000404,0xd067bbf6d1f72657716f27135945c8bb78883605,26842
0x0000000000000000000000000000000000000404,0x0424e057c2d0bc7e58c75975aaf38bf1e598cd49,674.301
0x0000000000000000000000000000000000000404,0x480f2b74be069a75a9196a49553c8cf40e848bfe,280.661
0x0000000000000000000000000000000000000404,0xf15d35d68e67cd2fd6e6fe9268cf210ee45c677d,2388.57
0x0000000000000000000000000000000000000404,0x598f32d09a13a095b472066c7c77165aff45fe43,1200.38
0x0000000000000000000000000000000000000404,0x1ade16f938281fbff2bc8fb6c3f537178f6d76b5,7264.53
0x0000000000000000000000000000000000000404,0x0a1287977578f888bdc1c7627781af1cc000e6ab,19.3264
0x0000000000000000000000000000000000000404,0xd4523feaea290185606b4da9998cc4553f0ad561,12.5331
0x0000000000000000000000000000000000000404,0xdddf0f8018c0b83f117debdd98d57e0f54a77aa7,218144
0x0000000000000000000000000000000000000404,0x6328e811a291b6424a0c858526d46fff7c46d647,847.121
0x0000000000000000000000000000000000000404,0x310eb062f52120e18f2a096e7e9ec07c8116be25,855.784
0x0000000000000000000000000000000000000404,0xede9129da3340414d172b45cbef924a1b500f6e0,59.0645
0x0000000000000000000000000000000000000404,0x701630bfabb78b1607c145bae3af76c52b2c0955,42.7332
0x0000000000000000000000000000000000000404,0xc0fc76fc589d377e4f8325e24f6d84728e917780,11601.4
0x0000000000000000000000000000000000000404,0x015ec1fa097ece8cadb1fcb8fafdd3b953b02e49,2157.84
0x0000000000000000000000000000000000000404,0xe178ae2ee58f7c85fee8354b1272c5e6ffc41161,11461.7
0x0000000000000000000000000000000000000404,0x161fbbe61e224c1aaa9bd0b3444e45af7fff779d,308.256
0x0000000000000000000000000000000000000404,0x9cf97a207a0775c6c65f708e988b482d6440e41b,189.69
0x0000000000000000000000000000000000000404,0xe45fd7bef2736dad2d5620052ca37a9603376aea,49465
0x0000000000000000000000000000000000000404,0x081cbab52e2dbcd52f441c7ae9ad2a3be42e2284,19326.4
0x0000000000000000000000000000000000000404,0x51c3be801995abe6d510d4acd6480322a8fe26ba,15797.9
