token_address,receiver,amount
0x0000000000000000000000000000000000000404,0x8c2f4f24346e633e82bc6ec87a6eb6d664203fff,99268.2
0x0000000000000000000000000000000000000404,0x6099830071fc278be4e309d2b81c9a4495a57ed8,18805.4
0x0000000000000000000000000000000000000404,0x7496d345d6127f22307b7baf1f8b93131ed4722a,125324
0x0000000000000000000000000000000000000404,0x50eab6fcdca2f35a1dc33692d896624c5f9ffb05,64028.7
0x0000000000000000000000000000000000000404,0x311e8b91acee3c29cffb21d02c88ed1736b4626f,2007390
0x0000000000000000000000000000000000000404,0x807b496bd5fa96dc9e22a43577942b2d90dd7ccc,3.8652838
0x0000000000000000000000000000000000000404,0xc557b06f04f12026c54ec679e37cc5733e5c9418,9400.79
0x0000000000000000000000000000000000000404,0x347b00dfb656ca4804819fa6035177910eac3e27,109235
0x0000000000000000000000000000000000000404,0xd9b8954ce0970c29a7c65b32babc810ac19cccfe,308861
0x0000000000000000000000000000000000000404,0x90bc7f950dae2253f37189230479d3d7173c9112,1283.16
0x0000000000000000000000000000000000000404,0x33d522cad133e04d201b1ea3bd0461678f0850f0,0.19326419
0x0000000000000000000000000000000000000404,0x879ea79bc8aeef498987da2661c6c7505df1032e,299438
0x0000000000000000000000000000000000000404,0x4545bebf52d8434709462a44c6c331dca45462d9,235777
0x0000000000000000000000000000000000000404,0xf9d2652bbf716b02bf392b0068b8d4d46290cf27,107285
0x0000000000000000000000000000000000000404,0x530cafdc90c5353c6654999cbdb16ab14af1fcc4,150564
0x0000000000000000000000000000000000000404,0xce2191a070d9f9bf7912954f0117c0013e82ee47,44223.5
0x0000000000000000000000000000000000000404,0x615e1690dfe1fe7ca505d19c0ca9b2c4881f2bbe,743.101
0x0000000000000000000000000000000000000404,0xefb73e47099485c72b7678cb59fb0da7dacf173f,225083
0x0000000000000000000000000000000000000404,0x82c3a2783e645035ff4269cd7251e8889974172d,84.142950211
0x0000000000000000000000000000000000000404,0xa09b71eead5de440848e81af76a1fa5d7ec23041,11996.7
0x0000000000000000000000000000000000000404,0xd56ce8b205279a309ba56f7c9f7dff56e6a47c74,0.19326419
