who,amount
0xede9129da3340414d172b45cbef924a1b500f6e0,407040000000000000000000
0x53c5d255e5941c86f37dbab0c38c662fe86876ac,2686720000000000000000000
0xa233a72ac8572bfe402de54a92bc20620992103c,3080192000000000000000000
0xd35dd9cea5b361f7a027df5cb2954ca34814843b,43520000000000000000000
0x33102b455040374610044b31ec477644ee454db8,50995200021461248000000000
0xd0bb920e3e90dbafa0b5f260d055de957f089c62,215296000000000000000000000
0x0bc289463b21be0f610d0d6cb4b8a9e679b68c15,95890474996474368000000000
0xedb7014286f9711bec29fcb8e329d7f235e282fe,61056000000000000000000000
0xcfc49d2515ea12a059ab4b0f9f53bb2fc731a536,244838400000000000000000000
0x2cd65e30c25f345f667d7a7cf341e643156fb129,877056000000000000000000
0x52a99cc5cb2925104648e9fcdf8625e341fb348c,134144000000000000000000000
0x93b5ae94126f437d401573822107e42675c96529,74240000000000000000000000
0x80b232d60d6b680a5aa9d09ad3af663f1604507e,1280000000000000000000000
0x3f426e5b88bf470a05a76d6639c5829e999084a4,2816000000000000000000000
0x8d1556fc392aa1d921da04fd0a7ae2f561f6a8b7,1789440000000000000000000
0xc557b06f04f12026c54ec679e37cc5733e5c9418,8192000000000000000000000
0xbc6e0fbd9c9854fede1a7d7b218da852a364a942,9369600000000000000000000
0x53b5405bd56535472b224065c55be7a3d3f16e98,2215936000000000000000000
0x29f3255084f0b26f0245686ebd3cc906585ac5a5,18073600000000000000000000
0xa0367bcc3dfb279a234c69d27c323bb09f989b98,1868800000000000000000000
0xe853955ebb69f9744258a5554b4fda7b7d502105,114560000000000000000000000
0x0533916aa9221ce7b112c7d88083c782ec42ce5d,358400000000000000000000
0x65f9880279b5301f461b0f8d2a665787e779fa35,102456418910814976000000000
0x7d0caefbe8a6f66aea68389f8cbff9052acd8fd7,197120000000000000000000
0x9afa35293d27223b1826c93d4797e8441e135fbe,24435200000000000000000000
0x149a0bb4c9988c8f305944f6926363d91a054d8b,5103014146816000000000
0xdddf0f8018c0b83f117debdd98d57e0f54a77aa7,2457600000000000000000000000
0xd3c156703591d155ee5002977cd0182b06e7172d,2560000000000000000000000
0x54bbcc5972643028f41b984837181ad883f82cff,48640000000000000000000
0xbafaba26d84f48f6e60af5f71ec747b864efd53c,1152000000000000000000000
0x11111ecab79526a489f5dc7e71510237ccb02ac8,17408000000000000000000000
0x9ae643f37fd8b5a754949905d912de06e4a5a04b,9344000000000000000000000
0x51c3be801995abe6d510d4acd6480322a8fe26ba,194773760000000000000000
0x9e6d8f604f0710e91148b8be62efa2f0d0aa6fdb,25600000000000000000000
0xc940319750b62d1638ee78e27b3eccd2c4857a07,512000000000000000000000
0x67ba4867a7d80080e6443eebfbb27f90b21c25d8,2304000000000000000000000
0x6ed5b4a55f294ed175a51f049d911b8c22b60079,2210759101440000000000
0xe784d95cbda57cc9a339a9259aba525a8bacfc68,115200000000000000000000
0x0f25837044826d0d20a6f0a2b08ffe924e2d012f,21526784000000000000000000
0x5346afb94c08ac53dc8a18aa318cf0383826ed68,512000000000000000000
0xa530c67bfb7234748ca682e02f8310d5e372f4ae,268032000000000000000000000
0x39f821e9903460062022e9d6f359bbca85d9836d,4595200000000000000000000
0x5adbb07b8054cee82294e43688ab059510f5e900,23808000000000000000000000
0x91310ec1dec7f1a46bf7aa01f42e00cf61cfa055,2560000000000000000000
0x7b136c96e73a65c3a9085edf6e4b77e75a8ff744,170752000000000000000000000
0x4de51875c1a58799a0de58fc1049e9c4a83d7ad0,2977280000000000000000000
0x892a59e8e12c3f85c8108f9b14c84f8ae6c56d32,11264000000000000000000000
0x1ade16f938281fbff2bc8fb6c3f537178f6d76b5,47104000000000000000000000
0xd4ad220e09fb7c7663af22dabd02f1c303b2ad39,131840000000000000000000000
0x688f17dcdbdf386e1fe2062b66fe44eef909220b,614400000000000000000000
0xa68a9bc8bef09ff96f2afc22efd4ec29140a8c59,3840000000000000000000000
0x6f5b595409d68de19f6c782030647f2d11d942e7,801280000000000000000000000
0x4d664d4ca15e968212ac6ef96a3e4f21aa0bca75,22975744031682048000000000
0xbf5dfc355d21ae88c80fa15e84e7c0287fbcd328,102400000000000000000000
0x5bf50621d9811ad5b0abe63d32361251ba57279b,256000000000000000000000
0x1e030e342543b463f31668b946c13b09c86c6a1b,512000000000000000000000
0x3ec5b42376bfbe988cc619a0acfe68049d4fb9bc,128000000000000000000000
0x873c030d79bdcc2515c45cd1cce63a52872c7d02,27392000000000000000000
0x081cbab52e2dbcd52f441c7ae9ad2a3be42e2284,256000000000000000000000000
0x55c3518c1037d05aeac82cb71b2730dd6ce7d772,6400000000000000000000000
0xc49f2f72d1e59e5f52d13e1c86f563d85b3db1fd,168960000000000000000000
0xb880adfd4599e7684d9049e232ad8a88254cba64,76800000000000000000000
0x86e813231678a1b34d72bc03931bc749a06bd40d,81408000000000000000000000
0x6a4535fa9e16eb3c9102fc59e91102b1643248c8,103424000000000000000000000
0x2af277330e72b04ed70b2173e15ccebc9fc55585,14336000000000000000000000
0x49da4690c74ad5066beb550b06579dd8a4944964,1024000000000000000000000
0x83822f68269e618ddb98d13c5b382332884dbbe8,6542080000000000000000000
0x151e8ac2720e1d34708e0ac84239acf3e6a15f2a,1356800000000000000000000
0xc5a214c78f82a3117d204cb8e3bc5c9b3ae97e97,2457600000000000000000000
0x4c69050267e0311e4a97e3f7f19ead544feda422,291840000000000000000000
0xd3916dcd64ba72fc86e0374c526f1f4b13d4af73,10893312000000000000000000
0x6e9dcc05c020172e35aaa8f394cf414ef8f23cf6,77339320394361344000000000
0x2369ce21d3d4e8494e6280f21b33fb9374216ab3,24268800000000000000000000
0x347b00dfb656ca4804819fa6035177910eac3e27,7991040000000000000000000
0xa9c124dd74d0fed6a7f6bfbcefbd5703e853bcf3,1779200000000000000000000
0xb5727469dfcfdbdcd9592eb1bb3bdcbc50a9da05,1079724544000000000000000
0x278bd76ef225eb7c72155251a7071a6567ba4bd4,76800000000000000000000
0x6e201fe455c368dad14a70cac54e63191705af8a,128000000000000000000000
0xe2a238e4c6cbef7483199df5b82e112fdac21da7,1920000000000000000000000
0x291f0a03550d33d449046e64c535b14e4dc07516,295936000000000000000000000
0x103152b1fe48c9ea3edcbbdb028e8e8498040bc5,25600000000000000000000
0xb4a488b072b9d75909d7a7c42da8e03e43e40ac3,5376000000000000000000000
0x37321e41fcd153a4d9233f478441fd07ac030fc7,7116800000000000000000000
0x18c30cc8b8411f35f5fc1b5ea3f76567afd61aa5,368640000000000000000000000
0x1be8ce85d5763e67b37a0817fd99a33ce9b83800,42763520000000000000000000
0xa1264689beb901126c8c15dc08d8d435aa2dee4e,151418881090560000000000
0x2d831cb8963ec6ba7ac09593359a4beb59b7b891,755200000000000000000000
0x495833d72cb1c78c5f53e0fbafdbe18e012b2482,2560000000000000000000000
0x0def9b4811e4c4e9da5acf82d421c97b5e9c152f,25600000000000000000000
0x444f5906249a182cebe41f07d47897afa1cf7964,25600000000000000000000000
0x4b890dc59b89537f3e472ac927f7ebeb81616d2f,10957568000000000000000000
0xfa5727be643dba6599fc7f812fe60da3264a8205,256000000000000000000
0x4586abb5c8ed8a6917131fa4db4ce4c78f800e4c,345600000000000000000000
0x5781ba401cd4540cf6d4a56af297884030131949,24320000000000000000000000
0xf99760b9385c009ad7c741038e1de583a941711e,4332800000000000000000000
0xac714e5088aa4534f1257e2be2110c7e5ac64b02,2560000000000000000000000
0xefb73e47099485c72b7678cb59fb0da7dacf173f,6785335296000000000000000
0xf32a403a1dc01eb44b6aad0ff1c31aaff62bce30,76492800072661504000000000
0x5ddb47b33ef2cbbd1ddef13763be178ac20967c0,51097599970261248000000000
0x05908bda450cd7a134928b1fcc07527e9b95b7e5,151040000000000000000000000
